Rank,Release Group,Worldwide,Domestic,%,Foreign,%
356,His Secret Life,"$500,930","$215,449",43%,"$285,481",57%
357,The Milk of Human Kindness,"$500,412",-,-,"$500,412",100%
358,Baise-moi 2001 Re-release,"$496,701",-,-,"$496,701",100%
359,The Invisible Circus,"$494,630","$77,578",15.7%,"$417,052",84.3%
360,Tape,"$490,475","$490,475",100%,-,-
361,Jewel of the Desert,"$488,176",-,-,"$488,176",100%
362,In Praise of Love,"$485,003","$252,074",52%,"$232,929",48%
363,Wildheart: Hell of Boomerang,"$482,926",-,-,"$482,926",100%
364,La casa del terror,"$475,231",-,-,"$475,231",100%
365,Good Advice,"$473,626",-,-,"$473,626",100%
366,Mullet,"$466,648",-,-,"$466,648",100%
367,Sólo mía,"$454,892",-,-,"$454,892",100%
368,Warm Water Under a Red Bridge,"$453,754","$71,094",15.7%,"$382,660",84.3%
369,Gorgeous,"$451,518",-,-,"$451,518",100%
370,Berlin Is in Germany,"$445,187",-,-,"$445,187",100%
371,"Max, Sally and the Magic Phone","$430,012",-,-,"$430,012",100%
372,Porn Star: The Legend of Ron Jeremy,"$421,516","$421,516",100%,-,-
373,Tuvalu,"$411,678","$411,678",100%,-,-
374,Commissar Shakespeare,"$411,676",-,-,"$411,676",100%
375,Reisei to jônetsu no aida,"$405,890",-,-,"$405,890",100%
376,Clara y Elena,"$403,625",-,-,"$403,625",100%
377,Lost and Delirious,"$396,897","$307,233",77.4%,"$89,664",22.6%
378,Pauline and Paulette,"$395,175","$139,789",35.4%,"$255,386",64.6%
379,Millennium Mambo,"$393,351","$14,904",3.8%,"$378,447",96.2%
380,Born Romantic,"$376,090","$15,545",4.1%,"$360,545",95.9%
